Subject,Subset,Trial,Assistance,Training,ergodicity,error,successtime,tts
3,3,1,1,1,1.2765599999999999,0.84870100000000004,0.0,30.008333
3,9,2,0,1,0.578121,0.58244899999999999,0.0,30.008333
3,3,2,1,1,1.259744,0.830175,0.0,30.008333
3,9,3,0,1,0.89545799999999998,0.671709,0.0,30.008333
3,3,3,1,1,0.79439499999999996,0.70121900000000004,1.016667,22.308332
3,9,4,0,1,0.77346099999999995,0.63731599999999999,0.0,30.008333
3,3,4,1,1,0.92157699999999998,0.72645499999999996,0.5,29.075001
3,9,5,0,1,0.64354199999999995,0.60316400000000003,0.0,30.008333
3,3,5,1,1,1.2038690000000001,0.80399500000000002,0.0,30.008333
3,10,1,0,1,0.75311300000000003,0.62969799999999998,0.0,30.008333
3,4,1,1,1,0.93591199999999997,0.72817399999999999,0.61666699999999997,27.308332
3,10,2,0,1,0.87007500000000004,0.658223,0.0,30.008333
3,4,2,1,1,0.89782200000000001,0.73262700000000003,0.466667,24.958334000000001
3,10,3,0,1,0.74694300000000002,0.62737799999999999,0.0,30.008333
3,4,3,1,1,0.88356199999999996,0.72382800000000003,1.016667,25.241667
3,10,4,0,1,0.62178699999999998,0.59123599999999998,0.0,30.008333
3,4,4,1,1,0.95888399999999996,0.73019800000000001,0.0,30.008333
3,10,5,0,1,0.67230699999999999,0.61924999999999997,0.0,30.008333
3,4,5,1,1,0.86971399999999999,0.70878099999999999,0.69999999999999996,29.325001
3,11,1,0,1,0.77732400000000001,0.63720299999999996,0.0,30.008333
3,5,1,1,1,1.267158,0.82366499999999998,0.0,30.008333
3,11,2,0,1,0.57201500000000005,0.57363699999999995,0.0,30.008333
3,5,2,1,1,0.85128000000000004,0.72040400000000004,0.53333299999999995,23.591667000000001
3,11,3,0,1,0.84014100000000003,0.65390700000000002,0.0,30.008333
3,5,3,1,1,1.1815899999999999,0.80434099999999997,0.0,30.008333
3,11,4,0,1,0.76325200000000004,0.62379899999999999,0.0,30.008333
3,5,4,1,1,0.87739299999999998,0.72042600000000001,0.0,30.008333
3,11,5,0,1,0.55724899999999999,0.57392399999999999,0.84999999999999998,16.625
3,5,5,1,1,1.1116090000000001,0.76854800000000001,0.0,30.008333
3,12,1,0,1,0.60575900000000005,0.589584,0.0,30.008333
3,6,1,1,1,0.92120100000000005,0.72767999999999999,0.033333000000000002,28.758333
3,12,2,0,1,0.77815500000000004,0.63459500000000002,0.0,30.008333
3,6,2,1,1,0.82373399999999997,0.72056799999999999,1.8333330000000001,23.825001
3,12,3,0,1,0.848638,0.64965200000000001,0.0,30.008333
3,6,3,1,1,1.0576939999999999,0.76062399999999997,0.0,30.008333
3,12,4,0,1,1.1069260000000001,0.73624999999999996,0.0,30.008333
3,6,4,1,1,0.75288699999999997,0.69707300000000005,2.4333330000000002,23.258333
3,12,5,0,1,0.64243300000000003,0.60179099999999996,0.0,30.008333
3,6,5,1,1,1.039752,0.76655099999999998,0.283333,29.708334000000001
4,7,1,0,1,0.72268900000000003,0.63061699999999998,0.216667,23.375
4,1,1,1,1,0.59784599999999999,0.58197900000000002,0.0,30.008333
4,7,2,0,1,0.51010299999999997,0.57492699999999997,0.55000000000000004,21.725000000000001
4,1,2,1,1,0.70888099999999998,0.68444400000000005,0.66666700000000001,24.625
4,7,3,0,1,0.67949099999999996,0.61506899999999998,0.0,30.008333
4,1,3,1,1,0.96817500000000001,0.75204300000000002,0.0,30.008333
4,7,4,0,1,0.78323699999999996,0.67149999999999999,0.0,30.008333
4,1,4,1,1,0.57819299999999996,0.67238799999999999,4.0,17.591667000000001
